"Description","Count"
"state dinner reception",127
"reception for first responders",127
"members of congress",127
"marine band 2",127
"iftar dinner",127
"if you have any questions please call darienne page",127
"dot-hud stakeholder briefing",127
"battle of the buldge vets",127
"volunteer leader training",126
"time changed to 1200 per r.ahmed. fd 2/3/12@ 1454",126
"potus reception",126
"nss (staff and their family) departure photos with potus",126
"ngo meeting on interfaith cooperation",126
"time change from 8:00 to 9:00 per kyle lierman. ec 11/17/11 @5:20",125
"reception with members of the jewish community",125
"ok to change the time from 0800 to 0900 per supervisors joyce g and goran k",125
"governor's dinner",125
"volunteers- do not arp. will be coming in se gate",124
"time change at the request of the requestor",124
"reception with labor leaders",124
"nss staff departure photos with potus 125 total participants",124
"in the event of rain the event will be held in the east room",124
"group tour/ requestor changed per will jennings",124
"all guests should enter via a14a1. thank you!ladini",124
"time change made at the request of t. elson",123
"tibbets award",123
"this is a meeting with cecilia munoz",123
"sustainable building summit",123
"staff bbq",123
"requestor called to change time 1430hrs to 1400hrs",123
"recovery act meeting",123
"eer training #2",123
"we would like to request an access list for this group. the last access list created for this type of group was u# pho623 appt# 373697",122
"volunteer",122
"time change per pan",122
"these are event guests",122
"mardi gra party",122
"implementing strategies for latinos",122
"hmx departure viewing",122
"date change per claudia dmc 7/3/2012 @ 1804",122
"clean energy conference",122
"black history reception",122
"weekly deputies meeting",121
"retirement party",121
"meeting**",121
"joint service honor guard for state dinner arrival ceremony. time change am to pm",121
"group will move from sca to east room at 9:45 for potus. social office in contact with usss",121
"group tour date/time change per requestor",121
"green jobs environment briefing",121
"time change per req",120
"stem event + photo with potus",120
"interview",120
"honor guard for arrival of the president of turkey",120
"gate 9am group tours",120
"ipc meeting",119
"energy innovation conference",119
"air force band for garden tours",119
"national security forum",118
"group tour changed time from 0930 to 0900 per will",118
"flotus will be there for a breast cancer event",118
"eer training #1",118
"ec",118
"workplace flexibility forum",117
"time change at the request of the requestor. kdc 9/18 @ 17:33",117
"puerto rico task force meeting",117
"poverty conference",117
"location change per saldivar",117
"large arab american briefing by ope**",117
"this was approved by 24 hour exception",116
"jewish community outreach meeting",116
"honor guard on drive by north portico",116
"group tour please add to u#u89881",116
"per requestor donna coleman can add to this u#",115
"military personnel for the arrival ceremony for the state dinner",115
"michelle moore",115
"kids and chaperones",115
"please clear this list for noon 2 pm and 4pm tomorrow",114
"minority enterprise business week",114
"guests for wnba visit",114
"dominican american leaders",114
"conference",114
"time change per request from 10:00 to 11:00 per d. page. ec 11/21/11 @ 9:05am",113
"the adjutants general reception",113
"same group attending better buildings event with potus in the morning for reentry for second event of the day",113
"room # changed per requestor dk 08/24/12 1621hrs",113
"regulatory reform briefing",113
"guests list for medal of honor ceremony",113
"wounded warriors",112
"photo w/ potus and paemst winners",112
"native american arts reception",112
"speech on health care event",111
"rm change per requestor",111
"photo w/ potus",111
"fall 2012 access list",111
"changed from 1502 hrs to 1800 hrs per chelsea",111
"ww tour**",110
"wh / eeob 208",110
"time changed per requestor for timeout",110
"time change per dorota jachina",110
"ope briefing",110
"lunch at wh mess",110
"it dashboard working group",110
"ew tour must enter through sherman park reclear name",110
"coming in for west wing tour",110
"weekly agency legislative affairs meeting",109
"south lawn sports series",109
"replacement driver for the us attorneys event",109
"recovery anniversary speech",109
"eeob bowling alley",109
"u58340",108
"time change per ginwala",108
"nss staff departure photo ceremony with potus. location change per requestor",108
"military personnel for a rehearsal for the state arrival",108
"military district of washington troop lining the drive for honor cordon for president of mexicos visit",108
"honor guard on west wing entrance for arrival of president of italy",108
"group tour reclear",108
"big table",108
"all are federal employees",108
"wh military office departure photo op w/ potus",107
"reception in honor of vice president mondale",107
"nc-ses conference",107
"lakers event",107
"army band roster for the garden tours",107
"young global leaders summit",106
"signing of the aapi eo",106
"military district washington honor guard to line the south drive for arrivals to the nuclear security summit dinner",106
"briefing for growth energy",106
"west wing tours",105
"potus event with health care advocates",105
"one master list for the three shift for saturday garden tours",105
"group tour-changed from eddie to ethan per eddie",105
"ew tour must enter through sherman park family reunion tourall are dob reclears",105
"driver for congressional ball",105
"will enter nw appointment gate",104
"weekly interagency meeting",104
"reception for leaders of labor organizations",104
"press",104
"group tour new guest",104
"departure photos with the president",104
"date/time change per requestor",104
"time change per requstor",103
"technology showcase",103
"scheduled west wing tour",103
"reception in honor of firefighters and law enforcement officials",103
"group tour names",103
"group tour-changed time/date from 3/16 @ 0830 to 3/15 @ 1130 per ethan",103
"tax bill signing event",102
"south lawn only will not enter wh",102
"reitours",102
"marine band rehearsal",102
"hearst media event",102
"all volunteers for saturdays fall garden tours",102
"alabama championship visit",102
"whmo departure photo; includes military members and their guests",101
"waves for greengov awards ceremony",101
"time change per requestor/date changed back to 12/7",101
"this breakfast is for gold star families",101
"room updated per requestor",101
"please allow eop staff member shasti conrad to edit this u",101
"military personnel for arrival ceremony for the state dinner",101
"marine band #2",101
"group tour-changed from eddie to ethan per eddie-changed time from 0830 to 0700 per ethan",101
"violence against women act anniversary reception",100
"truman bowling alley reservation",100
"time change per g. holden",100
"seniors meeting",100
"marine band musicians for a holiday reception",100
"invictus games reception",100
"governor's dessert reception",100
"audience for sports team visit**",100
"west wing lobby",99
"tour for musuem of modern art group",99
"super bowl guests",99
"inter-agency meeting",99
"arts reception",99
"all appointee event volunteers",99
"826 dc reception",99
"chg rm no and time. mw",98
"truman bowling",97
"p/h requested time adjustment",97
"n/a",97
"volunteers for the congressional picnic",96
"time change per wear 2nd request to change time per requestor",96
"time change per charles fromstein",96
"presidential winners of the mentors awards and guests",96
"group tourchanged from 1000 to 1230 per ethan",96
"ew tour must enter through sherman park ppo tour",96
"canada state arrival rehersal",96
"agency briefing",96
"wrong dob",95
"waves were timed out. resubmitting. these were originally cleared and part of u#: u12401. please rewave",95
"updated time per requestor",95
"training session",95
"to take a photo with administrator jackson and the president",95
"room number changed per victoria",95
"jointservice military honor guard",95
"first group of adds dinner guests will enter ne gate",95
"we have 80+ nss staff/departing staff coming to the nw gate for a departure photo ceremony with the president in the oval office",94
"student leadership briefing",94
"social secretary reception (no vpotus or dr. biden attendance)",94
"onap mtg- role of public private partnerships in",94
"la lakers visit",94
"group tour-changed from eddie to ethan per eddie-changed from 1100 to 1330 per ethan",94
"county official meeting",94
"10am staff tour",94
